"id","tag","url","palavra","mot","audio"
1,sentimentos,https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-alegria.jpg,heureux,alegre,Il a heureux
2,sentimentos,https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-raiva.jpg,rage,raiva,Il a rage
3,sentimentos,https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-tristeza.jpg,triste,triste,Il a triste
4,sentimentos,https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-medo.jpg,peur,medo,Il a peur
5,sentimentos,https://image.freepik.com/free-vector/cute-boy-sleepy_33070-1825.jpg,sommeil,sono,Il a sommeil
6,sentimentos,https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-calma.jpg,calme,calmo,Il a calme
7,animais,https://how2drawanimals.com/images/CartoonCat/draw-cartoon-kitten-cat-kitty-thumb.jpg,chat,gato,le chat
10,frutas,https://thumbs.dreamstime.com/b/color-image-cartoon-oranges-white-background-fruits-vector-illustration-165217615.jpg,orange,laranja,l'orange
11,animais,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQhVYavbmxaprx3dvCGkaD6grjgUQlnF-lwbA&usqp=CAU,requin,tubarão,le requin
13,vestuário,https://i.pinimg.com/originals/d2/16/e5/d216e5c5b7e7fef30c79057cd2d85222.jpg,sac,bolsa,le sac
14,pessoas,https://image.freepik.com/free-vector/cute-boy-cartoon_33070-2118.jpg,garçon,menino,le garçon
15,pessoas,https://image.freepik.com/free-vector/brunette-woman-character_23-2147502479.jpg,femme,mulher,la femme
18,alimentos,https://freesvg.org/img/mealplate.png,repas,refeição,""
19,animais,https://image.freepik.com/free-vector/cute-little-dog-cartoon-isolated-white_143596-3.jpg,chien,cachorro,le chien
20,pessoas,https://www.clipartkey.com/mpngs/m/137-1378551_commerce-vector-cartoon-business-man-hq-image-free.png,homme,homem,le homme
21,ações,https://st.depositphotos.com/2400497/2883/v/450/depositphotos_28833263-stock-illustration-cartoon-girl-eating.jpg,manger,comer,""
23,frutas,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR48hDZWbUuKtN3CARMhGJSuNSbaoRivbwNmQ&usqp=CAU,pomme,maçã,""
25,frutas,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRMYzZ1HDRi41Sm1CsD89cOfQZL_wX-UYZPfg&usqp=CAU,citron,limão,""
26,alimentos,https://img.freepik.com/free-vector/milk-tetrabrick_51188-5.jpg?size=338&ext=jpg,lait,leite,""
27,ações,https://image.shutterstock.com/image-vector/child-drinking-water-vector-illustration-260nw-330125195.jpg,-,beber,""
28,ações,https://i.pinimg.com/736x/2f/68/23/2f68236fdffd49cf8854f254aad5e910.jpg,-,dormir,""
29,ações,https://www.pngitem.com/pimgs/m/532-5322872_kids-play-png-transparent-cartoons-cartoon-images-of.png,-,brincar,""
33,vestuário,https://image.shutterstock.com/image-vector/yellow-sneakers-vector-isolated-260nw-569243245.jpg,chaussure,sapato,""
35,cores,https://www.clipartkey.com/mpngs/m/144-1449759_drop-clip-art-colours-red-splodge.png,rouge,vermelho,""
36,animais,https://images-na.ssl-images-amazon.com/images/I/710bPncUkKL._AC_SL1500_.jpg,poisson,peixe,""
38,adjetivos,"",leve,légère,""
39,ações,https://fsb.zobj.net/crop.php?r=67k5Vxa6DCKDWWgyQNyW3GnT5upfIpkb9Qg1gWle4ZBJOD1xWq9bMGjh4odEw0KAZ_e5L240kFb_3XZNxbKQB4NFO29FlWPELo-lpDZnfPMkpsu6vCdbLVPij1gJ5NFouLCsoP_m7mkp6Q4m,aime,gostar,j'aime
40,pessoas,https://cdn2.f-cdn.com/contestentries/1458359/21383270/5c0fca8e25198_thumb900.jpg,fille,menina,""
41,ações,https://image.freepik.com/free-vector/kid-drawing-vector-illustration-isolated_97632-299.jpg,dessiner,desenhar,""
42,ações,https://thumbs.dreamstime.com/b/two-little-kids-talking-counting-fingers-two-little-kids-boy-girl-pink-talking-being-friends-180131114.jpg,parle,falar,""
