"id","tag","url","mot","palavra","audio","uuid","created_at","updated_at"
"1","sentimentos","https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-alegria.jpg","heureux","alegre","Il a heureux","bebbb5c9-ffe6-4bce-b4ab-b98fe0504757","2020-12-12 17:26:55","2020-12-12 17:27:48"
"17","cores","https://cdn.pixabay.com/photo/2013/07/13/10/45/bucket-157730_960_720.png","bleu","azul","","4e2d6ae6-ec0b-4700-ab56-a3e32c53941f","2020-12-12 17:26:55","2020-12-12 17:27:48"
"27","ações","https://image.shutterstock.com/image-vector/child-drinking-water-vector-illustration-260nw-330125195.jpg","-","beber","","d2a71f4e-535f-404f-bc7e-3da8a8b5e106","2020-12-12 17:26:55","2020-12-12 17:27:48"
"13","vestuário","https://i.pinimg.com/originals/d2/16/e5/d216e5c5b7e7fef30c79057cd2d85222.jpg","sac","bolsa","le sac","33bc0a49-a7cb-4773-99f0-12ef8d73f5cb","2020-12-12 17:26:55","2020-12-12 17:27:48"
"53","animais","https://i.pinimg.com/736x/62/b7/fb/62b7fb57ec0e461b6daf6a928edc87ee.jpg","papillon ","borboleta","","88deffe2-fa69-4cec-aba7-694699213657","2020-12-12 17:26:55","2020-12-12 17:27:48"
"22","cores","https://cdn.pixabay.com/photo/2013/07/13/10/48/paint-pot-157814_960_720.png","blanche","branco","","f11af346-a529-4bc6-bdef-89cf06498aaa","2020-12-12 17:26:55","2020-12-12 17:27:48"
"29","ações","https://www.pngitem.com/pimgs/m/532-5322872_kids-play-png-transparent-cartoons-cartoon-images-of.png","-","brincar","","81f9221c-6709-4670-8cc6-d2b1313bf599","2020-12-12 17:26:55","2020-12-12 17:27:48"
"19","animais","https://image.freepik.com/free-vector/cute-little-dog-cartoon-isolated-white_143596-3.jpg","chien","cachorro","le chien","d1196953-242f-42df-8d7f-e1d77f839e12","2020-12-12 17:26:55","2020-12-12 17:27:48"
"6","sentimentos","https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-calma.jpg","calme","calmo","Il a calme","9dd732d4-7421-4e09-8ec9-fa5dff4d2064","2020-12-12 17:26:55","2020-12-12 17:27:48"
"32","vestuário","https://cdn.pixabay.com/photo/2016/03/31/19/24/clothes-1294974_960_720.png","pantalon","calça","le pantalon","381c3127-08b7-4ab8-989a-9577dcd12605","2020-12-12 17:26:55","2020-12-12 17:27:48"
"30","ações","https://cdn.pixabay.com/photo/2017/01/31/17/26/boy-2025737_960_720.png","promenader","caminhar","","5a2eb123-8c72-4be9-88ac-3bf93e9d2817","2020-12-12 17:26:55","2020-12-12 17:27:48"
"37","alimentos","https://cdn.pixabay.com/photo/2018/02/21/23/23/steak-3171790_960_720.png","boeuf","carne","","8ed02b9c-be8b-45e9-bc5f-deaec603a5a3","2020-12-12 17:26:55","2020-12-12 17:27:48"
"34","objetos","https://cdn.pixabay.com/photo/2013/07/12/13/58/letter-147697_960_720.png","lettres","cartas","","edb2d288-9be7-4d7e-80e0-5b73f3dd38f1","2020-12-12 17:26:55","2020-12-12 17:27:48"
"52","animais","https://image.freepik.com/free-vector/cartoon-brown-horse-isolated-white_29190-5049.jpg","cheval","cavalo","","7479c993-2bb3-4134-b055-63566bfefbec","2020-12-12 17:26:55","2020-12-12 17:27:48"
"45","alimentos","https://thumbs.dreamstime.com/b/cenoura-dos-desenhos-animados-110455651.jpg","carotte","cenoura","","c9f56a1a-e95e-4ef6-a2b1-cebf85a90404","2020-12-12 17:26:55","2020-12-12 17:27:48"
"47","alimentos","https://i.pinimg.com/736x/ca/ff/ac/caffac214721104ab6a7a76ecda33aec.jpg","chocolat","chocolate","le chocolat","b280dff8-6f53-4ae3-9385-2c4ca56677c7","2020-12-12 17:26:55","2020-12-12 17:27:48"
"21","ações","https://st.depositphotos.com/2400497/2883/v/450/depositphotos_28833263-stock-illustration-cartoon-girl-eating.jpg","manger","comer","","5a2d9fb0-2a50-4d42-a371-c70916dae3ea","2020-12-12 17:26:55","2020-12-12 17:27:48"
"49","pessoas","https://cdn.pixabay.com/photo/2020/10/21/19/32/children-5674132_960_720.png","enfant","criança","","2dc298ec-0170-4dc6-871e-27fa514a9584","2020-12-12 17:26:55","2020-12-12 17:27:48"
